slug,name,city,state,email,phone,website,status,confidence,is_heritage,primary_genres,gaps_count,source_count,next_action
juke-joint-festival-clarksdale,Juke Joint Festival,Clarksdale,MS,info@jukejointfestival.com,(662) 624-5992,https://www.jukejointfestival.com,active,High,,blues,8,3,Email info@jukejointfestival.com re: 2026 submission window opening Oct 15 and undercard fee structure
king-biscuit-blues-festival-helena,King Biscuit Blues Festival,Helena,AR,Booking@KingBiscuitFestival.com,(870) 572-5223,https://kingbiscuitfestival.com,active,High,,blues,10,5,Email Booking@KingBiscuitFestival.com re: 2026 undercard submission process; mention HeavyDrunk's prior King Biscuit Week presence at Bluesberry Cafe
sunflower-river-blues-gospel-festival-clarksdale,Sunflower River Blues & Gospel Festival,Clarksdale,MS,,,https://www.sunflowerfest.org,active,High,,blues; gospel,9,3,Submit via sunflowerfest.org contact form to inquire about 2026 artist submissions and booking process
mississippi-delta-blues-heritage-festival-greenville,Mississippi Delta Blues & Heritage Festival,Greenville,MS,,(662) 335-3523,https://www.deltabluesms.org,active,High,,blues,7,4,Call Chauncy Wright at (662) 645-7045 re: 2026 undercard booking process and submission timeline
mighty-mississippi-music-festival-greenville,Mighty Mississippi Music Festival,Greenville,MS,,(662) 347-2920,,dormant,Low,,blues; Americana; country,8,3,Call Greenville–Washington County CVB to verify dormancy and ask if any revival is planned before booking resources are allocated
bb-king-homecoming-festival-indianola,B.B. King Homecoming Festival,Indianola,MS,info@bbkingmuseum.org,(662) 887-9539,https://bbkingmuseum.org,on_hiatus,Low,,blues,7,3,Call B.B. King Museum at (662) 887-9539 or email info@bbkingmuseum.org to ask whether traditional Homecoming Festival format will return and what programming exists for 2026
deep-blues-festival-clarksdale,Deep Blues Festival,Clarksdale,MS,info@deepbluesfestival.com,,https://www.deepbluesfestival.com,on_hiatus,Low,,blues,7,3,Email info@deepbluesfestival.com to confirm whether 2026 edition is planned under new producer and who the new contact is
bentonia-blues-festival-bentonia,Bentonia Blues Festival,Bentonia,MS,,,https://bentoniablues.com/bfest.html,active,High,,blues,8,3,Contact Blue Front Cafe via Facebook @bluefrontcafeblues re: 2026 supporting act booking for the Bentonia Blues Festival
highway-61-blues-festival-leland,Highway 61 Blues Festival,Leland,MS,,,http://www.highway61blues.com,active,Medium,,blues,7,3,Contact Visit Leland via visitlelandms.com to ask about 2026 artist submissions for the 25th Annual festival
crossroads-blues-festival-clarksdale,Crossroads Blues Festival,Clarksdale,MS,crossroads@visitclarksdale.com,(662) 627-6149,https://www.visitclarksdale.com,active,Medium,,blues,8,3,Email crossroads@visitclarksdale.com re: 2026 artist submission process and booking contact name
international-blues-challenge-memphis,International Blues Challenge,Memphis,TN,,(901) 527-2583,https://blues.org/international-blues-challenge/,active,High,,blues,7,3,Call Blues Foundation at (901) 527-2583 to ask about affiliated blues society sponsorship pathway for IBC 2026 entry for corridor-based artists
beale-street-music-festival-memphis,Beale Street Music Festival,Memphis,TN,,(901) 525-4611,https://memphisinmay.org,on_hiatus,Low,,rock; hip_hop; blues,8,4,Monitor memphisinmay.org for 2026 lineup and dates announcement; contact (901) 525-4611 when 2026 plans firm up
baton-rouge-blues-festival-baton-rouge,Baton Rouge Blues Festival,Baton Rouge,LA,lauren@brblues.org,,https://www.brblues.org,active,High,,blues,6,3,Submit via brblues.org/get-booked portal or email lauren@brblues.org re: 2026 artist submissions and timeline
sam-chatmon-blues-festival-hollandale,Sam Chatmon Blues Festival,Hollandale,MS,,(662) 827-2241,,active,Medium,,blues; gospel,9,4,Call (662) 827-2241 or message Facebook @SamChatmonBlues re: 2026 booking process
double-decker-arts-festival-oxford,Double Decker Arts Festival,Oxford,MS,,(662) 232-2477,https://visitoxfordms.com/double-decker-festival/,active,High,,Americana; indie; rock,7,3,Call (662) 232-2477 to identify talent buyer name and ask about 2026 artist submission process
americanafest-nashville,Americanafest,Nashville,TN,,,https://americanamusic.org/americanafest/,active,High,,Americana; country; folk,7,4,Check americanamusic.org for 2026 showcase submission portal opening (typically spring); investigate membership/showcase application process
arkansas-folk-festival-mountain-view,Arkansas Folk Festival,Mountain View,AR,,,https://mountainviewarkansas.com/arkansasfolkfest,active,High,,folk; heritage_music,7,3,Contact Arkansas Craft Guild via arkansascraftguild.org re: 2026 folk music performer application process
new-orleans-jazz-heritage-festival-new-orleans,New Orleans Jazz & Heritage Festival,New Orleans,LA,development@jazzandheritage.org,(504) 265-0147,https://www.nojazzfest.com,active,High,,jazz; blues; gospel,7,5,Contact development@jazzandheritage.org re: artist submission pathway for Louisiana Heritage stages; direct booking not public-facing
french-quarter-festival-new-orleans,French Quarter Festival,New Orleans,LA,,(504) 522-5730,https://frenchquarterfest.org,active,High,,jazz; blues; zydeco; cajun,7,3,Call FQFI at (504) 522-5730 to clarify Louisiana artist submission policy and 2026 application process
satchmo-summerfest-new-orleans,Satchmo SummerFest,New Orleans,LA,,(504) 522-5730,https://satchmosummerfest.org,active,High,,jazz,7,3,Call FQFI at (504) 522-5730 to ask about Satchmo SummerFest 2026 artist submission process
mid-city-bayou-boogaloo-new-orleans,Mid-City Bayou Boogaloo,New Orleans,LA,,,https://thebayouboogaloo.com,active,High,,zydeco; cajun; jazz,7,3,Contact via thebayouboogaloo.com to inquire about 2026 artist submissions for the 20th Anniversary edition
tremé-fall-festival-new-orleans,Tremé Fall Festival,New Orleans,LA,,,https://www.tremefest.org,active,High,,jazz; blues,8,3,Contact via tremefest.org to inquire about 2026 artist booking and submission process
voodoo-music-arts-experience-new-orleans,Voodoo Music + Arts Experience,New Orleans,LA,,,,defunct,Low,,rock; indie; hip_hop,1,2,No action; treat as defunct unless Live Nation announces revival
mardi-gras-new-orleans-carnival-season-new-orleans,Mardi Gras / New Orleans Carnival Season,New Orleans,LA,,,https://www.neworleans.com/events/holidays-seasonal/mardi-gras/,active,High,,jazz; blues; zydeco,5,2,Contact City of New Orleans Office of Tourism & Cultural Economy for list of Social Aid & Pleasure Clubs accepting second-line band bookings for 2026 Carnival season
gonerfest-memphis,Gonerfest,Memphis,TN,info@goner-records.com,,https://goner-records.com/pages/gonerfest,active,Medium,,indie; rock; blues,7,3,Email info@goner-records.com re: Gonerfest 2026 dates announcement and whether they accept external artist submissions or are fully curated by Goner Records roster
memphis-music-hall-of-fame-induction-ceremony-memphis,Memphis Music Hall of Fame Induction Ceremony,Memphis,TN,,,https://memphismusichalloffame.com,active,Medium,,blues; soul; rock,7,2,Monitor memphismusichalloffame.com for 2026 ceremony date announcement
thacker-mountain-radio-hour-oxford,Thacker Mountain Radio Hour,Oxford,MS,,,https://thackermountain.com,active,Medium,,folk; Americana; blues,7,3,Contact via thackermountain.com to ask about guest musician booking process for Fall 2026 season
natchez-festival-of-music-natchez,Natchez Festival of Music,Natchez,MS,,,https://www.natchezfestivalofmusic.com/home-page-20252026,active,Medium,,jazz; blues; heritage_music,8,3,Contact via natchezfestivalofmusic.com re: 2026 blues programming slots and how to submit artists for the spring season
festival-acadiens-et-créoles-lafayette,Festival Acadiens et Créoles,Lafayette,LA,,,https://festivalsacadiens.com,active,High,,cajun; zydeco,7,4,Contact via festivalsacadiens.com or CODOFIL (codofil.org) re: 2026 artist submission process for Cajun/Créole performers
breaux-bridge-crawfish-festival-breaux-bridge,Breaux Bridge Crawfish Festival,Breaux Bridge,LA,,(337) 332-6655,https://bbcrawfishfest.com,active,High,,cajun; zydeco,8,3,Call (337) 332-6655 re: 2026 artist booking process and Cajun/zydeco act submission
crossroads-blues-festival-leland-clarksdale-cross-reference-leland-clarksdale,Crossroads Blues Festival (Leland / Clarksdale cross-reference),Leland / Clarksdale,MS,,,,active,Low,,blues,5,2,See individual records for Highway 61 Blues Festival (Leland) and Crossroads Blues Festival (Clarksdale)
mighty-roots-music-festival-clarksdale,Mighty Roots Music Festival,Clarksdale,MS,,,https://www.visitclarksdale.com,active,Medium,,blues; Americana,9,3,Contact Visit Clarksdale at (662) 627-6149 or crossroads@visitclarksdale.com to identify organizer and booking contact for Mighty Roots Music Festival
clarksdale-film-music-festival-clarksdale,Clarksdale Film & Music Festival,Clarksdale,MS,,,https://www.clarksdalefilmfestival.com,active,Medium,,blues,8,2,Contact via clarksdalefilmfestival.com re: 2026 (or 2027) live music booking for daily blues reception slots
delta-hot-tamale-festival-greenville,Delta Hot Tamale Festival,Greenville,MS,,,https://visitgreenville.org,active,Low,,blues,10,1,Contact Visit Greenville via visitgreenville.org to identify music booking contact and confirm 2026 dates
oxford-american-music-issue-conway,Oxford American Music Issue,Conway,AR,,,https://www.oxfordamerican.org,active,Low,,Americana; blues; folk,7,1,Contact Oxford American editorial team via oxfordamerican.org re: 2026 Southern Music Issue theme state and any associated listening party opportunities
biscuits-jam-clarksdale,Biscuits & Jam,Clarksdale,MS,,,https://www.cathead.biz/music-calendar,active,Low,,blues,8,1,Check cathead.biz/music-calendar for current Biscuits & Jam listings; contact Cathead Juke Joint & Vodka directly for organizer info
country-blues-music-festival-clarksdale,Country Blues Music Festival,Clarksdale,MS,,,https://www.visitclarksdale.com,active,Low,,blues; country,10,1,Contact Visit Clarksdale at crossroads@visitclarksdale.com or Shack Up Inn directly to identify organizer for Country Blues Music Festival at Hopson
women-in-blues-festival-clarksdale,Women in Blues Festival,Clarksdale,MS,,,https://www.visitclarksdale.com,active,Low,,blues,11,1,Contact Visit the Delta via visitthedelta.com to identify Women in Blues Festival organizer and booking contact
mardi-gras-booking-context-second-lines-new-orleans,Mardi Gras Booking Context (Second Lines),New Orleans,LA,,,,active,Medium,,jazz; blues,5,2,Contact City of New Orleans Office of Tourism & Cultural Economy for Social Aid & Pleasure Club directory; book brass bands 3–6 months ahead of desired Carnival 2026 dates
