slug,name,city,state,email,phone,website,status,confidence,is_heritage,primary_genres,gaps_count,source_count,next_action
bb-kings-blues-club-memphis,B.B. King's Blues Club,Memphis,TN,,,https://www.bbkings.com/memphis,active,High,,blues; soul; R&B,45,1,Via bbkings.com/memphis contact form
rum-boogie-café-blues-hall-memphis,Rum Boogie Café / Blues Hall,Memphis,TN,,,https://rumboogie.com,active,Medium,,blues; Memphis soul,48,1,Contact via rumboogie.com; no public booking listed
blues-city-cafe-memphis,Blues City Cafe,Memphis,TN,,,https://bluescitycafe.com,active,Medium,,blues; soul,49,1,Via bluescitycafe.com; booking contact not public
mr-handys-blues-hall-memphis,Mr. Handy's Blues Hall,Memphis,TN,jshivers@bealestreet.com,(901) 526-0115,https://bealestreet.com,active,Medium,,blues,46,2,jshivers@bealestreet.com / (901) 526-0115
the-new-daisy-theatre-memphis,The New Daisy Theatre,Memphis,TN,jshivers@bealestreet.com,(901) 526-0115,https://bealestreet.com/visit/the-new-daisy,active,High,,rock; hip-hop; Americana,45,2,jshivers@bealestreet.com / (901) 526-0115
lafayettes-music-room-memphis,Lafayette's Music Room,Memphis,TN,booking@lafayettes.com,(901) 207-5097,https://lafayettes.com,active,High,,blues; soul; rock; Americana,46,2,booking@lafayettes.com / (901) 207-5097
hi-tone-cafe-memphis,Hi-Tone Cafe,Memphis,TN,,(901) 244-7904,https://hitonecafe.com,active,High,,rock; indie; metal; Americana; comedy,46,2,(901) 244-7904; no public booking email listed
minglewood-hall-memphis,Minglewood Hall,Memphis,TN,,(901) 312-6058,http://www.minglewoodhall.com,active,High,,hip-hop; rock; blues; R&B,47,2,(901) 312-6058; booking contact not public
growlers-memphis,Growlers,Memphis,TN,,(901) 244-7904,https://901growlers.com,active,High,,indie; rock; punk; Americana,47,2,(901) 244-7904
overton-park-shell-levitt-shell-memphis,Overton Park Shell (Levitt Shell),Memphis,TN,info@overtonparkshell.org,(901) 300-3011,https://overtonparkshell.org,active,High,,all genres,46,1,info@overtonparkshell.org / (901) 300-3011
