slug,name,city,state,email,phone,website,source_count,gaps_count
11-garden-gun,1.1 Garden & Gun,,,,,,0,0
12-the-bitter-southerner,1.2 The Bitter Southerner,,,,,,0,0
13-oxford-american,1.3 Oxford American,,,,,,0,0
14-no-depression,1.4 No Depression,,,,,,0,0
15-offbeat-magazine-closed-flag,1.5 OffBeat Magazine ⚠️ CLOSED — FLAG,,,,,,0,0
16-memphis-magazine,1.6 Memphis Magazine,,,,,,0,0
17-mississippi-magazine,1.7 Mississippi Magazine,,,,,,0,0
18-living-blues-magazine,1.8 Living Blues Magazine,,,,,,0,0
19-blues-music-magazine-verify-location,1.9 Blues Music Magazine ⚠️ VERIFY LOCATION,,,,,,0,0
110-country-roads-magazine,1.10 Country Roads Magazine,,,,,,0,0
111-new-orleans-magazine,1.11 New Orleans Magazine,,,,,,0,0
21-memphis-flyer,2.1 Memphis Flyer,,,,,,0,0
22-gambit-new-orleans,2.2 Gambit (New Orleans),,,,,,0,0
23-mississippi-free-press-jackson-free-press,2.3 Mississippi Free Press / Jackson Free Press,,,,,,0,0
24-oxford-eagle-the-local-voice-oxford-ms,"2.4 Oxford Eagle / The Local Voice (Oxford, MS)",,,,,,0,0
25-arkansas-times,2.5 Arkansas Times,,,,,,0,0
26-nolacom-the-times-picayune-the-advocate,2.6 Nola.com / The Times-Picayune | The Advocate,,,,,,0,0
31-cat-head-update-newsletter-crossroads-delta-blues-hour-radio,"3.1 Cat Head Update Newsletter & ""Crossroads Delta Blues Hour"" Radio",,,,,,0,0
32-traveling-down-the-delta-blues-highway-podcast,"3.2 ""Traveling Down the Delta Blues Highway"" Podcast",,,,,,0,0
33-delta-blues-museum-podcast-youtube,3.3 Delta Blues Museum Podcast & YouTube,,,,,,0,0
34-wwoz-new-orleans-907-fm-radio-podcast-streaming,3.4 WWOZ New Orleans 90.7 FM (Radio / Podcast / Streaming),,,,,,0,0
35-fat-possum-records-youtube-big-legal-mess-records-youtube,3.5 Fat Possum Records YouTube / Big Legal Mess Records YouTube,,,,,,0,0
36-mississippi-blues-trail-revisited-podcast,"3.6 ""Mississippi Blues Trail Revisited"" Podcast",,,,,,0,0
41-americana-highways-digital-publication-instagram,4.1 Americana Highways (Digital Publication / Instagram),,,,,,0,0
42-scott-barretta-blues-journalist-researcher-substack-newsletter-blues-trail,4.2 Scott Barretta — Blues Journalist / Researcher (Substack / Newsletter / Blues Trail),,,,,,0,0
43-valerie-june-artist-social-media,4.3 Valerie June (Artist / Social Media),,,,,,0,0
44-roger-stolle-cat-head-instagram-facebook-e-newsletter,4.4 Roger Stolle / Cat Head (Instagram / Facebook / E-Newsletter),,,,,,0,0
45-the-bitter-southerner-social-instagram,4.5 The Bitter Southerner Social (Instagram),,,,,,0,0
46-southern-living-music-food-travel-content,4.6 Southern Living — Music & Food-Travel Content,,,,,,0,0
47-pacific-st-blues-americana-spotlight-shows-substack,"4.7 ""Pacific St Blues & Americana Spotlight Shows"" Substack",,,,,,0,0
48-string-theories-substack-americana,"4.8 ""String Theories"" Substack (Americana)",,,,,,0,0
49-wwoz-social-wwoz_neworleans,4.9 WWOZ Social / @wwoz_neworleans,,,,,,0,0
51-the-blues-foundation-memphis,5.1 The Blues Foundation (Memphis),,,,,,0,0
52-mississippi-blues-trail,5.2 Mississippi Blues Trail,,,,,,0,0
53-americana-music-association-ama,5.3 Americana Music Association (AMA),,,,,,0,0
54-international-bluegrass-music-association-ibma,5.4 International Bluegrass Music Association (IBMA),,,,,,0,0
