slug,name,city,state,email,phone,website,source_count,gaps_count,2026_vinyl_package,30th_anniversary,action,address,approach,attorney,bar_admission,blues_southern_sync_connection,bluesville_relaunch_(2024),catalog,clients_include,contact,corridor-relevant_artists,corridor-relevant_artists_on_roster,corridor-relevant_booking,corridor-specific_assets,courts,current_roster_(2024–2026),current_status_(2024–26),demo_submission_policy_(mail_only)
11-mississippi-north-delta-labels,1.1 Mississippi / North Delta Labels,,,dialbacksound@gmail.com,662) 816-1914,,10,0,"Annual subscription LP series (3–5 records/year, 140g vinyl)",,,,,,,,,,,No public submission policy listed; John Ward reachable through label website or Memphis music community,,,,,,,,
12-alabama-shoals-corridor-delta-adjacent,1.2 Alabama (Shoals corridor) — Delta-Adjacent,Florence,AL,info@singlelock.com,,https://www.singlelock.com,2,0,,,,,,,,,,,,`info@singlelock.com`,,,,,,,,
13-chicago-delta-artist-roster-national-with-deep-southern-roots,1.3 Chicago (Delta artist roster) — National with Deep Southern Roots,Chicago,IL,,,https://www.alligator.com,2,1,,,,,,,,,,,,,,,,,,,,"Send up to 4 songs (physical media, no email), include SASE for reply. Address: Alligator Records, New Material, P.O. Box 60234, Chicago, IL 60660. Response time: 3+ months. No phone inquiries."
14-new-orleans-louisiana-labels,1.4 New Orleans / Louisiana Labels,,,,,,8,2,,,,,,,,,,,,,,,,,,,,
15-historically-notable-status-notes,1.5 Historically Notable / Status Notes,Severn,MD,,,,1,0,,,,,,,,,,,,,,,,,,,,
21-nashville-based-publishers-with-southernblues-relevance,2.1 Nashville-Based Publishers with Southern/Blues Relevance,,,info@bluewatermusic.com,615) 327-0808,https://musicrow.com/2026/01/breaking-sony-music-publishing-acquires-big-yellow-dog-music/,3,0,,,,,,,,Richard Busch (King & Ballow) has represented Bluewater in litigation against Spotify — indicating active catalog management and enforcement posture,,,,,,,,,,,,
22-major-catalog-publishers-bluessouthern-sync,2.2 Major Catalog Publishers (Blues/Southern Sync),Nashville,TN,info.us@bmg.com,212) 561-3000,https://concord.com/licensing/,1,0,,,,,,,,,"Craft Recordings revived Bluesville label June 2024 with John Lee Hooker reissue (*Burning Hell*, 1964) and Skip James (*Today!*, 1966 Vanguard, July 2024); plus streaming playlists and digitization of archival blues holdings","Over 1 million copyrighted works, 300,000+ active sound recordings. Blues-relevant catalog includes: **Stax Records** (Otis Redding, Sam & Dave, Booker T. & the MGs, Albert King — major Memphis soul/blues); **Bluesville Records** (relaunched 2024, John Lee Hooker, Skip James, country blues archival); **Rounder Records** (Americana, bluegrass, some NOLA); **Fantasy, Hightone, Ric/Ron, Riverside, Savoy, Specialty, Telarc, Testament, Trix, Vanguard, Vee Jay**",,"info.us@bmg.com · One Park Avenue, New York, NY 10016 · (212) 561-3000",,,,,,,,
23-sync-houses-for-southern-documentary-film,2.3 Sync Houses for Southern Documentary Film,,,,,,0,0,,,,,,,,,,,,,,,,,,,,
31-major-management-with-southerncorridor-artists,3.1 Major Management with Southern/Corridor Artists,,,,,https://musicrow.com/2019/05/the-fitzgerald-hartley-company-to-close-doors/,3,1,,,Remove from active directory; note historical significance as major Nashville country management firm.,,Large full-service management; represents many Southern and Americana artists alongside mainstream pop/rock,,,,,,"Webb Wilder, Geoff Achison, Yonrico Scott, Randall Bramblett, Peter Karp, Glenn Phillips/Cindy Wilson (B-52s)",[redlightmanagement.com](https://redlightmanagement.com/roster/) — contact through individual artist manager listed on roster page; Nancy Lewis-Pegel · `nancy@brilliant-productions.com` · (404) 312-6237,,,,,,,,
41-blues-specialist-agencies,4.1 Blues-Specialist Agencies,,,staff@intrepidartists.com,704-358-4777,https://intrepidartists.com,3,1,,November 2024,,,,,,,,,,,,,,"Will Johnston covers all Deep South states (LA, MS, AL, AR, TN); Mr. Sipp is Mississippi-born; John Mooney is NOLA-based; Kenny Neal is from Baton Rouge",,"Altered Five Blues Band, Andy Thomas, Blues Royalty (John Primer & Kenny Neal), Bywater Call (Canadian, but frequent Southern touring), Carolyn Wonderland, Chambers/DesLauriers (Annika Chambers & Paul DesLauriers), Chris Cain, The Cold Stares, Curtis Salgado, Derrick Dove & The Peacekeepers, Indigenous, Jimmy Carpenter, Joanna Connor, John Mooney (New Orleans), John Németh, Jovin Webb, Kenny Neal (Baton Rouge, LA), Lil' Ed & The Blues Imperials, Mother's Finest, Mr. Sipp (Castro Coleman, Mississ",Not heavily documented in current searches — may be operating at reduced scale or retired. Verify by contacting Blues Foundation or via Charlotte blues community contacts.,
